                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9572,                 6.2929,                 4.1462,                0.00045,                0.03643,                 0.0011,                0.00044,                 2.0017,                 6.7467,                 4.0594,             1.5659e-05,             1.5659e-05,             1.5659e-05
                      2,                 2.9347,                  6.271,                 4.0675,                0.00118,                0.04508,                0.00243,                0.00034,                 2.0033,                 6.7636,                 3.9272,             2.9603e-05,             2.9603e-05,             2.9603e-05
                      3,                 2.8732,                 6.2468,                 3.9648,                0.00215,                0.01958,                0.00228,                0.00072,                 2.0215,                 6.5456,                 3.9861,             4.1823e-05,             4.1823e-05,             4.1823e-05
                      4,                 2.8541,                 6.2093,                 3.8712,                0.00078,                0.05255,                0.00168,                0.00069,                 2.0116,                 6.8767,                  3.735,             3.9245e-05,             3.9245e-05,             3.9245e-05
                      5,                 2.7641,                 6.1626,                 3.7664,                0.00092,                0.04253,                0.00175,                0.00083,                 2.0567,                 7.4162,                  3.624,              3.666e-05,              3.666e-05,              3.666e-05
                      6,                 2.7327,                 6.1396,                 3.6826,                0.00087,                0.06321,                0.00186,                0.00082,                 2.0774,                  9.069,                 3.6459,             3.4075e-05,             3.4075e-05,             3.4075e-05
                      7,                 2.6225,                 6.1081,                 3.5783,                0.00594,                0.04918,                0.00545,                0.00098,                 2.0939,                 7.6108,                 3.6125,              3.149e-05,              3.149e-05,              3.149e-05
                      8,                 2.5482,                 6.0602,                 3.5018,                0.00156,                0.08033,                0.00247,                0.00084,                 2.0467,                 7.1953,                  3.573,             2.8905e-05,             2.8905e-05,             2.8905e-05
                      9,                 1.8199,                 6.2078,                 3.3043,                 0.0021,                0.09217,                0.00495,                0.00166,                 1.8016,                 12.815,                 3.6896,              2.632e-05,              2.632e-05,              2.632e-05
                     10,                 1.6677,                 6.0761,                 3.1371,                0.00209,                0.17013,                0.00506,                0.00193,                 1.9072,                 102.56,                 4.1278,             2.3735e-05,             2.3735e-05,             2.3735e-05
                     11,                   1.62,                      6,                 3.0381,                0.00297,                0.19335,                0.00613,                0.00276,                 1.9398,                 265.53,                 4.4597,              2.115e-05,              2.115e-05,              2.115e-05
                     12,                 1.5901,                 5.9196,                  2.964,                0.28232,                0.05079,                0.00653,                0.00271,                 1.9572,                 364.69,                 4.6826,             1.8565e-05,             1.8565e-05,             1.8565e-05
                     13,                 1.5393,                 5.8595,                 2.9019,                0.00251,                 0.1837,                0.00786,                 0.0029,                 1.9864,                 505.28,                 4.8373,              1.598e-05,              1.598e-05,              1.598e-05
                     14,                 1.5299,                 5.8024,                 2.8422,                0.29922,                0.04845,                0.00775,                0.00331,                 1.9737,                 730.41,                 4.7767,             1.3395e-05,             1.3395e-05,             1.3395e-05
                     15,                 1.4896,                 5.7779,                  2.809,                0.00284,                0.20182,                0.00737,                0.00321,                 1.9844,                 962.64,                  4.994,              1.081e-05,              1.081e-05,              1.081e-05
                     16,                 1.4806,                 5.7528,                  2.785,                0.00287,                0.20956,                0.00814,                0.00373,                 1.9869,                 1082.1,                 5.1252,              8.225e-06,              8.225e-06,              8.225e-06
                     17,                 1.4792,                 5.7105,                 2.7636,                0.00279,                0.19909,                0.00837,                0.00368,                 2.0194,                 1203.1,                 5.2863,               5.64e-06,               5.64e-06,               5.64e-06
                     18,                 1.4585,                 5.6977,                 2.7499,                0.09665,                0.13133,                0.00724,                0.00329,                 1.9861,                 969.15,                 4.9825,              3.055e-06,              3.055e-06,              3.055e-06
